"filename", "language", "JSON with Comments", "JSON", "TypeScript", "XML", "Markdown", "Prisma", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Nocky\Desktop\dentalize\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"c:\Users\Nocky\Desktop\dentalize\biome.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Nocky\Desktop\dentalize\components.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Nocky\Desktop\dentalize\next.config.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\Nocky\Desktop\dentalize\package-lock.json", "JSON", 0, 5218, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5219
"c:\Users\Nocky\Desktop\dentalize\package.json", "JSON", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"c:\Users\Nocky\Desktop\dentalize\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\Nocky\Desktop\dentalize\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 17, 84
"c:\Users\Nocky\Desktop\dentalize\public\file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Nocky\Desktop\dentalize\public\globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Nocky\Desktop\dentalize\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Nocky\Desktop\dentalize\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Nocky\Desktop\dentalize\public\window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Nocky\Desktop\dentalize\src\app\admin\AdminDashboardClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 3, 12, 88
"c:\Users\Nocky\Desktop\dentalize\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 6, 20
"c:\Users\Nocky\Desktop\dentalize\src\app\api\send-appointment-email\route.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 6, 53
"c:\Users\Nocky\Desktop\dentalize\src\app\appointments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 163, 0, 0, 7, 21, 191
"c:\Users\Nocky\Desktop\dentalize\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\Nocky\Desktop\dentalize\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 186, 1, 11, 198
"c:\Users\Nocky\Desktop\dentalize\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 6, 54
"c:\Users\Nocky\Desktop\dentalize\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 2, 4, 32
"c:\Users\Nocky\Desktop\dentalize\src\app\pro\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 1, 9, 59
"c:\Users\Nocky\Desktop\dentalize\src\app\voice\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"c:\Users\Nocky\Desktop\dentalize\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 2, 8, 85
"c:\Users\Nocky\Desktop\dentalize\src\components\UserSync.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\Nocky\Desktop\dentalize\src\components\admin\AddDoctorDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 14, 166
